SoilMoisture,Average_Temp,Min_Temp,Max_Temp,Precipitation,Working_days,HA_Harvested,FFB_Yield,target
616.4,25.30645161,21.3,32.2,184.4,25,777778.3951,1.62,A
568.9,26.16551724,20.9,35.1,140.2,23,767988.2759,1.45,A
577.6,25.4483871,21.3,32.9,280.4,25,783951.9231,1.56,B
581.1,26.90333333,20.6,34.8,173.3,25,788987.0504,1.39,A
545.4,27.24193548,20.9,35,140.6,25,813659.7222,1.44,A
532.5,27.11666667,21.4,35.5,182.3,24,829817.5676,1.48,A
544.7,27.03548387,21.2,33.9,201.6,26,814475.3012,1.66,B
569.9,27.2,21.7,34.5,283.2,26,782279.5322,1.71,B
571.7,27.55666667,21.2,35.1,176.3,25,795237.6543,1.62,A
565.3,27.35806452,22.1,33.9,217.5,24,765090.8602,1.86,A
586.8,26.71666667,22.3,34.7,272.6,25,761875.6614,1.89,B
597.3,25.58064516,21.2,32.7,224.9,24,764343.7126,1.67,B
543.5,25.61612903,21.7,32.5,74.6,25,752804.0268,1.49,A
494.5,26.7,21.7,34.6,141,24,798306.1538,1.3,B
515.5,26.79032258,21.6,33.4,224.1,25,770165.2174,1.38,A
523.7,27.44333333,21.4,33.8,149.8,25,807140.7407,1.35,A
505.4,27.62258065,21.9,34.6,154.1,24,839900,1.48,A
474.9,27.6,21.2,34.5,103.1,24,827699.3789,1.61,A
472.4,27.26451613,21.1,33.4,182,26,799190.4494,1.78,B
506.1,26.77096774,22,32.7,205.3,24,800349.3671,1.58,B
528.7,27.08333333,20.9,34.3,194.3,25,801240.9938,1.61,A
544,27.19354839,21.7,33.3,211.4,26,797374.8792,2.07,B
579.4,26.13,21.5,33.2,276.5,24,777216.6667,1.68,A
605.7,25.63548387,22.2,31.1,270.4,25,768365.8065,1.55,B
553.4,26.26129032,21.6,32.1,68.9,25,813129.2308,1.3,A
458.2,27.49285714,21.5,35.1,49,22,840834.4828,1.16,A
456.3,27.32903226,21.4,35,220.2,27,837388.8889,1.44,A
505,27.89,22.6,35.6,204,26,833359.1241,1.37,A
507.7,28.26774194,22.4,35.2,168.7,24,842367.5497,1.51,A
545.7,27.45,22.2,34.9,283.2,24,827433.3333,1.65,A
582.7,27.09677419,21.9,33.5,231.3,27,802842.5287,1.74,A
576,27.12580645,21.4,35.6,183.8,24,777072.093,1.72,A
558.6,27.24666667,19.6,34.3,175.2,23,787068.323,1.61,A
534.3,27.29032258,21.7,35.2,147.4,26,782050.289,1.73,A
556.9,26.76666667,22.3,32.7,276.5,23,769208.4416,1.54,A
583.7,25.82580645,21.6,31.7,206.5,25,774883.7398,1.23,B
647.3,25.17096774,21.1,31.5,496.1,24,830578.7037,1.08,A
594.9,26.21785714,20.3,34.6,22.1,21,808268.1416,1.13,A
543.1,26.63548387,21.7,33.7,212.4,27,801427.8146,1.51,A
556.3,26.72333333,21.9,33.1,215.2,26,772254.717,1.59,B
548.3,27.20322581,21.5,34.9,168.9,25,800264.6409,1.81,A
538,26.95,21.6,32.9,183.6,25,808926.9231,1.82,B
507,26.84193548,21.3,33.5,103.9,26,803676.8362,1.77,B
494,26.8516129,21.3,34.1,180,24,776341.3793,1.74,B
516.4,26.79333333,20.9,34.6,192.8,25,765963.9423,2.08,B
558.6,26.53870968,21.7,33.5,265.3,25,764421.0784,2.04,A
613.5,26.17666667,21.9,31.6,336.2,25,756836.3095,1.68,A
637.8,25.62258065,20.8,32.4,306,27,752263.3333,1.5,B
602.1,26.11290323,21.1,33.5,134.9,24,776784.9206,1.26,A
547.2,26.37241379,20.8,34.1,129.1,24,829962.3853,1.09,A
539.9,26.55806452,21.6,33,208.9,27,834886.6071,1.12,B
566.8,26.89,20.8,33.3,249.4,24,854254.5455,1.21,B
593.7,27.52580645,21.8,34.6,276.7,25,862724.6269,1.34,B
550.8,27.27666667,20.7,34.3,76.3,25,853953.2895,1.52,A
501,26.45806452,21.5,33.9,142.4,25,828192.1348,1.78,A
486,26.68387097,21.3,34,129.6,25,771896.5517,1.74,A
493.2,26.62,21.2,33.1,187.5,25,781224.0385,2.08,B
509.2,26.96129032,21.6,34.1,172.4,26,749296.5686,2.04,A
543.2,26.26,21.8,33.4,256.6,23,757322.2222,1.98,A
597,26.03548387,22.3,31.9,316.1,24,734226.3441,1.86,B
591.4,26.08064516,20.7,32.2,177.4,26,768886.4516,1.55,B
590.2,25.825,21.6,32.5,283.2,23,775247.9339,1.21,A
544.1,27.10645161,20.9,34.6,70.6,26,808200,1.22,B
509.6,27.53666667,22.1,34.5,202.2,26,829556.391,1.33,B
527.4,27.53548387,21.5,34.3,207.9,25,828363.3094,1.39,A
501.3,27.97,20.9,35.7,104.9,24,831242.8571,1.54,A
483.4,27.02580645,20.8,34,170.7,26,808141.573,1.78,B
481.9,26.78709677,21.7,32.6,133.6,24,797025.1397,1.79,B
502.6,26.52333333,21,33.9,220.7,24,778033.8235,2.04,A
538.6,26.40322581,21.5,32.9,217.5,26,774112.7451,2.04,A
587.5,26.30333333,22,32.3,320.4,23,758253.4392,1.89,A
627.3,25.83548387,22.1,32.2,326.4,24,750066.6667,1.71,A
584.9,25.15806452,18.9,31.8,96.7,24,761886.0927,1.51,B
457.8,26.88214286,19,34.9,2,23,784703.3333,1.2,B
389.4,27.05806452,19.2,34.9,62.5,26,805045,1.4,A
380.7,27.1,21.8,34.1,141.9,26,795972.9167,1.44,A
430,27.16451613,22.3,33.6,207.8,25,840336.9128,1.49,A
458.7,27.68666667,21.9,34.3,142.8,24,845180.2632,1.52,A
487.6,26.90322581,21.8,33.1,220.4,25,814183.1395,1.72,A
542.8,26.21290323,21,32.3,250,26,785828.0374,2.14,B
536.9,26.54666667,20.3,33.7,119.2,25,773833.3333,1.92,B
509.8,27.11935484,21.8,34.1,165.2,25,754434.0314,1.91,B
555,26.44333333,21.5,33.4,305.2,23,717359.6685,1.81,A
619.4,25.99677419,21.3,32.8,374.9,26,683431.9444,1.44,B
576.3,25.92580645,20.4,33.1,77.1,26,745641.8803,1.17,A
480.6,26.63214286,20.7,35.7,48.8,21,760754.8387,1.24,A
428.2,27.27096774,20.6,35.3,104,25,822399.3421,1.52,B
421.8,27.45666667,21.8,34.4,138.7,26,819108.427,1.78,B
431.7,27.38709677,22,33.5,145.6,25,826795.5801,1.81,A
441.5,27.09,21.7,33.9,146.8,24,827823.1638,1.77,A
439.6,27.03548387,21.5,33,126.8,25,783227.2727,1.87,B
481.5,26.71612903,21.7,33.4,257.8,25,778257.868,1.97,A
480.5,27.12666667,20.5,35.3,79.5,24,755259.5855,1.93,B
467.1,27.73548387,19.9,35.2,186.4,26,748523.6842,1.9,B
526.6,27.03666667,22.4,33,276.1,23,725312.6506,1.66,B
581.1,26.74193548,21.9,33,274.5,25,709935.5072,1.38,B
553.4,26.76774194,22.2,33.2,106.8,26,746198.1818,1.1,A
519.1,26.44137931,21.9,32.3,175.7,23,766853.1532,1.11,A
460.5,27.89677419,21.5,35.9,36.5,26,796784.7458,1.18,A
392.9,28.58,21.2,36,81.7,26,808250.4,1.25,A
384.1,28.24516129,22.5,35.3,135.9,25,807678.1955,1.33,B
416.5,27.27,20.8,34.5,177.5,24,804263.9456,1.47,B
